,mean_train_score,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__activation,algorithm,mean_test_score
107,0.212802822,0.000316228,"[24, 24, 24]",relu,random_hill_climb,0.212803623
108,0.306876517,0.0001,[12],relu,random_hill_climb,0.306794998
109,0.2990197,0.0001,[6],relu,random_hill_climb,0.299021088
110,0.376297564,0.0001,[24],relu,random_hill_climb,0.37629735
111,0.528834727,0.0001,"[12, 12]",relu,random_hill_climb,0.528829672
112,0.697808141,0.0001,"[6, 6]",relu,random_hill_climb,0.69780223
113,0.735294348,0.0001,"[24, 24]",relu,random_hill_climb,0.735297811
114,0.367358158,0.0001,"[12, 12, 12]",relu,random_hill_climb,0.367349909
115,0.212802874,0.0001,"[6, 6, 6]",relu,random_hill_climb,0.212804455
116,0.212802822,0.0001,"[24, 24, 24]",relu,random_hill_climb,0.212803623
117,0.306227765,3.16E-05,[12],relu,random_hill_climb,0.306218629
118,0.298154628,3.16E-05,[6],relu,random_hill_climb,0.298155703
119,0.375720883,3.16E-05,[24],relu,random_hill_climb,0.375720981
120,0.52825802,3.16E-05,"[12, 12]",relu,random_hill_climb,0.528541071
121,0.697231409,3.16E-05,"[6, 6]",relu,random_hill_climb,0.697225029
122,0.735294348,3.16E-05,"[24, 24]",relu,random_hill_climb,0.735297811
123,0.367358158,3.16E-05,"[12, 12, 12]",relu,random_hill_climb,0.367349909
124,0.212802874,3.16E-05,"[6, 6, 6]",relu,random_hill_climb,0.212804455
125,0.212802822,3.16E-05,"[24, 24, 24]",relu,random_hill_climb,0.212803623
126,0.305939399,1.00E-05,[12],relu,random_hill_climb,0.305930029
127,0.298154628,1.00E-05,[6],relu,random_hill_climb,0.298155703
128,0.376009249,1.00E-05,[24],relu,random_hill_climb,0.376009581
129,0.528185922,1.00E-05,"[12, 12]",relu,random_hill_climb,0.528252887
130,0.697231409,1.00E-05,"[6, 6]",relu,random_hill_climb,0.697225029
131,0.735294348,1.00E-05,"[24, 24]",relu,random_hill_climb,0.735297811
132,0.367358158,1.00E-05,"[12, 12, 12]",relu,random_hill_climb,0.367349909
133,0.212802874,1.00E-05,"[6, 6, 6]",relu,random_hill_climb,0.212804455
134,0.212802822,1.00E-05,"[24, 24, 24]",relu,random_hill_climb,0.212803623
135,0.427481673,100,[12],sigmoid,random_hill_climb,0.415795668
136,0.429136889,100,[6],sigmoid,random_hill_climb,0.414367637
137,0.575474191,100,[24],sigmoid,random_hill_climb,0.553927085
138,0.820573459,100,"[12, 12]",sigmoid,random_hill_climb,0.809684328
139,0.817761998,100,"[6, 6]",sigmoid,random_hill_climb,0.807089004
140,0.814735179,100,"[24, 24]",sigmoid,random_hill_climb,0.802186126
141,0.819347532,100,"[12, 12, 12]",sigmoid,random_hill_climb,0.805655152
142,0.801541495,100,"[6, 6, 6]",sigmoid,random_hill_climb,0.794984842
143,0.818915593,100,"[24, 24, 24]",sigmoid,random_hill_climb,0.813435716
144,0.426831986,31.6227766,[12],sigmoid,random_hill_climb,0.418683334
145,0.441387426,31.6227766,[6],sigmoid,random_hill_climb,0.424187532
146,0.581747033,31.6227766,[24],sigmoid,random_hill_climb,0.565455294
147,0.825691719,31.6227766,"[12, 12]",sigmoid,random_hill_climb,0.807956469
148,0.817690134,31.6227766,"[6, 6]",sigmoid,random_hill_climb,0.799588724
149,0.817762284,31.6227766,"[24, 24]",sigmoid,random_hill_climb,0.803059828
150,0.814806212,31.6227766,"[12, 12, 12]",sigmoid,random_hill_climb,0.811127329
151,0.803344596,31.6227766,"[6, 6, 6]",sigmoid,random_hill_climb,0.799305945
152,0.814445826,31.6227766,"[24, 24, 24]",sigmoid,random_hill_climb,0.803055254
153,0.808318505,10,[12],sigmoid,random_hill_climb,0.798439729
154,0.702339744,10,[6],sigmoid,random_hill_climb,0.685448973
155,0.667962795,10,[24],sigmoid,random_hill_climb,0.640147876
156,0.82172656,10,"[12, 12]",sigmoid,random_hill_climb,0.81256742
157,0.815094864,10,"[6, 6]",sigmoid,random_hill_climb,0.804787687
158,0.817762414,10,"[24, 24]",sigmoid,random_hill_climb,0.809113365
159,0.813149464,10,"[12, 12, 12]",sigmoid,random_hill_climb,0.800744373
160,0.804209773,10,"[6, 6, 6]",sigmoid,random_hill_climb,0.802770396
161,0.814878206,10,"[24, 24, 24]",sigmoid,random_hill_climb,0.801325316
162,0.801831265,3.16227766,[12],sigmoid,random_hill_climb,0.792098424
163,0.763334464,3.16227766,[6],sigmoid,random_hill_climb,0.73760495
164,0.810913619,3.16227766,[24],sigmoid,random_hill_climb,0.798443056
165,0.819708724,3.16227766,"[12, 12]",sigmoid,random_hill_climb,0.812569499
166,0.828287067,3.16227766,"[6, 6]",sigmoid,random_hill_climb,0.814015827
167,0.824178361,3.16227766,"[24, 24]",sigmoid,random_hill_climb,0.815174387
168,0.820573355,3.16227766,"[12, 12, 12]",sigmoid,random_hill_climb,0.807958132
169,0.816248381,3.16227766,"[6, 6, 6]",sigmoid,random_hill_climb,0.802771228
170,0.818123034,3.16227766,"[24, 24, 24]",sigmoid,random_hill_climb,0.810550545
171,0.815743799,1,[12],sigmoid,random_hill_climb,0.812860594
172,0.804425937,1,[6],sigmoid,random_hill_climb,0.795562043
173,0.816969543,1,[24],sigmoid,random_hill_climb,0.804210903
174,0.823096241,1,"[12, 12]",sigmoid,random_hill_climb,0.818337762
175,0.825691589,1,"[6, 6]",sigmoid,random_hill_climb,0.819487173
176,0.824538748,1,"[24, 24]",sigmoid,random_hill_climb,0.821223765
177,0.819204479,1,"[12, 12, 12]",sigmoid,random_hill_climb,0.814876638
178,0.825115506,1,"[6, 6, 6]",sigmoid,random_hill_climb,0.816610735
179,0.817041252,1,"[24, 24, 24]",sigmoid,random_hill_climb,0.814012916
180,0.814951006,0.316227766,[12],sigmoid,random_hill_climb,0.81026735
181,0.806516677,0.316227766,[6],sigmoid,random_hill_climb,0.801328643
182,0.813437362,0.316227766,[24],sigmoid,random_hill_climb,0.807385922
183,0.814951084,0.316227766,"[12, 12]",sigmoid,random_hill_climb,0.806230273
184,0.8241059,0.316227766,"[6, 6]",sigmoid,random_hill_climb,0.813432805
185,0.815167352,0.316227766,"[24, 24]",sigmoid,random_hill_climb,0.813727643
186,0.787197204,0.316227766,"[12, 12, 12]",sigmoid,random_hill_climb,0.787196793
187,0.790584956,0.316227766,"[6, 6, 6]",sigmoid,random_hill_climb,0.789501021
188,0.787197178,0.316227766,"[24, 24, 24]",sigmoid,random_hill_climb,0.787196377
189,0.796280234,0.1,[12],sigmoid,random_hill_climb,0.795559964
190,0.789792371,0.1,[6],sigmoid,random_hill_climb,0.789793364
191,0.784746416,0.1,[24],sigmoid,random_hill_climb,0.782871115
192,0.787197075,0.1,"[12, 12]",sigmoid,random_hill_climb,0.787194714
193,0.78964833,0.1,"[6, 6]",sigmoid,random_hill_climb,0.789212005
194,0.787269302,0.1,"[24, 24]",sigmoid,random_hill_climb,0.787196793
195,0.787197204,0.1,"[12, 12, 12]",sigmoid,random_hill_climb,0.787196793
196,0.815167196,0.1,"[6, 6, 6]",sigmoid,random_hill_climb,0.813438211
197,0.212802822,0.1,"[24, 24, 24]",sigmoid,random_hill_climb,0.212803623
198,0.336647947,0.031622777,[12],sigmoid,random_hill_climb,0.33764903
199,0.368150613,0.031622777,[6],sigmoid,random_hill_climb,0.363314495
200,0.462586566,0.031622777,[24],sigmoid,random_hill_climb,0.462799256
201,0.690599297,0.031622777,"[12, 12]",sigmoid,random_hill_climb,0.691745366
202,0.787197075,0.031622777,"[6, 6]",sigmoid,random_hill_climb,0.787194714
203,0.787197204,0.031622777,"[24, 24]",sigmoid,random_hill_climb,0.787196793
204,0.787197204,0.031622777,"[12, 12, 12]",sigmoid,random_hill_climb,0.787196793
205,0.212802874,0.031622777,"[6, 6, 6]",sigmoid,random_hill_climb,0.212804455
206,0.212802822,0.031622777,"[24, 24, 24]",sigmoid,random_hill_climb,0.212803623
207,0.219434959,0.01,[12],sigmoid,random_hill_climb,0.218860486
208,0.225706295,0.01,[6],sigmoid,random_hill_climb,0.22664105
209,0.33607267,0.01,[24],sigmoid,random_hill_climb,0.335062856
210,0.321078899,0.01,"[12, 12]",sigmoid,random_hill_climb,0.321230003
211,0.787197075,0.01,"[6, 6]",sigmoid,random_hill_climb,0.787194714
212,0.787197204,0.01,"[24, 24]",sigmoid,random_hill_climb,0.787196793
213,0.658088193,0.01,"[12, 12, 12]",sigmoid,random_hill_climb,0.658303496
214,0.212802874,0.01,"[6, 6, 6]",sigmoid,random_hill_climb,0.212804455
215,0.212802822,0.01,"[24, 24, 24]",sigmoid,random_hill_climb,0.212803623
216,0.215686406,0.003162278,[12],sigmoid,random_hill_climb,0.215399778
217,0.22520179,0.003162278,[6],sigmoid,random_hill_climb,0.224624175
218,0.317401872,0.003162278,[24],sigmoid,random_hill_climb,0.316895592
219,0.255911352,0.003162278,"[12, 12]",sigmoid,random_hill_climb,0.256058735
220,0.787197075,0.003162278,"[6, 6]",sigmoid,random_hill_climb,0.787194714
221,0.787197204,0.003162278,"[24, 24]",sigmoid,random_hill_climb,0.787196793
222,0.323312821,0.003162278,"[12, 12, 12]",sigmoid,random_hill_climb,0.323812435
223,0.212802874,0.003162278,"[6, 6, 6]",sigmoid,random_hill_climb,0.212804455
224,0.212802822,0.003162278,"[24, 24, 24]",sigmoid,random_hill_climb,0.212803623
225,0.215253896,0.001,[12],sigmoid,random_hill_climb,0.215399778
226,0.225706425,0.001,[6],sigmoid,random_hill_climb,0.22548956
227,0.313509253,0.001,[24],sigmoid,random_hill_climb,0.313437379
228,0.240916931,0.001,"[12, 12]",sigmoid,random_hill_climb,0.2407729
229,0.787197075,0.001,"[6, 6]",sigmoid,random_hill_climb,0.787194714
230,0.787197204,0.001,"[24, 24]",sigmoid,random_hill_climb,0.787196793
231,0.27883448,0.001,"[12, 12, 12]",sigmoid,random_hill_climb,0.278825721
232,0.212802874,0.001,"[6, 6, 6]",sigmoid,random_hill_climb,0.212804455
233,0.212802822,0.001,"[24, 24, 24]",sigmoid,random_hill_climb,0.212803623
234,0.21539804,0.000316228,[12],sigmoid,random_hill_climb,0.215687962
235,0.226211137,0.000316228,[6],sigmoid,random_hill_climb,0.226356193
236,0.313148814,0.000316228,[24],sigmoid,random_hill_climb,0.313149195
237,0.238466091,0.000316228,"[12, 12]",sigmoid,random_hill_climb,0.23846784
238,0.787197075,0.000316228,"[6, 6]",sigmoid,random_hill_climb,0.787194714
239,0.787197204,0.000316228,"[24, 24]",sigmoid,random_hill_climb,0.787196793
240,0.264417077,0.000316228,"[12, 12, 12]",sigmoid,random_hill_climb,0.264410262
241,0.212802874,0.000316228,"[6, 6, 6]",sigmoid,random_hill_climb,0.212804455
242,0.212802822,0.000316228,"[24, 24, 24]",sigmoid,random_hill_climb,0.212803623
243,0.21568638,0.0001,[12],sigmoid,random_hill_climb,0.215687962
244,0.226427405,0.0001,[6],sigmoid,random_hill_climb,0.226356193
245,0.313725521,0.0001,[24],sigmoid,random_hill_climb,0.313725979
246,0.236159317,0.0001,"[12, 12]",sigmoid,random_hill_climb,0.236161533
247,0.787197075,0.0001,"[6, 6]",sigmoid,random_hill_climb,0.787194714
248,0.787197204,0.0001,"[24, 24]",sigmoid,random_hill_climb,0.787196793
249,0.26023591,0.0001,"[12, 12, 12]",sigmoid,random_hill_climb,0.260083752
250,0.212802874,0.0001,"[6, 6, 6]",sigmoid,random_hill_climb,0.212804455
251,0.212802822,0.0001,"[24, 24, 24]",sigmoid,random_hill_climb,0.212803623
252,0.21568638,3.16E-05,[12],sigmoid,random_hill_climb,0.215687962
253,0.226932013,3.16E-05,[6],sigmoid,random_hill_climb,0.226932977
254,0.313437181,3.16E-05,[24],sigmoid,random_hill_climb,0.313437795
255,0.236087245,3.16E-05,"[12, 12]",sigmoid,random_hill_climb,0.235873349
256,0.787197075,3.16E-05,"[6, 6]",sigmoid,random_hill_climb,0.787194714
257,0.787197204,3.16E-05,"[24, 24]",sigmoid,random_hill_climb,0.787196793
258,0.258361594,3.16E-05,"[12, 12, 12]",sigmoid,random_hill_climb,0.258352982
259,0.212802874,3.16E-05,"[6, 6, 6]",sigmoid,random_hill_climb,0.212804455
260,0.212802822,3.16E-05,"[24, 24, 24]",sigmoid,random_hill_climb,0.212803623
261,0.21568638,1.00E-05,[12],sigmoid,random_hill_climb,0.215687962
262,0.226932013,1.00E-05,[6],sigmoid,random_hill_climb,0.226932977
263,0.313437181,1.00E-05,[24],sigmoid,random_hill_climb,0.313437795
264,0.236159317,1.00E-05,"[12, 12]",sigmoid,random_hill_climb,0.236161533
265,0.787197075,1.00E-05,"[6, 6]",sigmoid,random_hill_climb,0.787194714
266,0.787197204,1.00E-05,"[24, 24]",sigmoid,random_hill_climb,0.787196793
267,0.257784914,1.00E-05,"[12, 12, 12]",sigmoid,random_hill_climb,0.257776613
268,0.212802874,1.00E-05,"[6, 6, 6]",sigmoid,random_hill_climb,0.212804455
269,0.212802822,1.00E-05,"[24, 24, 24]",sigmoid,random_hill_climb,0.212803623
